slno, Wall_1,Humid1, Wall_2,Humid2, Wall_3,Humid3, Wall_4,Humid4, Outside
481,23,64,25,58,26,78,24,63,28
482,23,64,25,57,26,78,24,63,28
483,23,65,25,57,26,80,24,62,28
484,23,65,25,57,26,79,24,63,28
485,23,65,25,57,26,80,24,64,28
486,23,65,25,57,26,81,24,66,28
487,23,65,25,57,26,84,24,66,28
488,23,63,25,57,26,85,24,67,28
489,23,66,25,58,26,85,24,69,28
490,24,65,25,59,26,83,24,70,28
491,24,67,25,59,26,83,24,70,28
492,24,66,25,60,26,83,24,71,28
493,24,66,25,60,26,84,24,71,28
494,24,67,25,60,26,85,24,71,28
495,24,66,25,61,26,88,24,73,28
496,24,68,25,61,26,88,24,73,28
497,24,67,25,62,26,85,24,73,28
498,24,68,25,62,26,86,24,73,28
499,24,67,25,63,26,86,24,74,28
500,24,68,25,63,26,86,24,74,28
501,24,69,25,64,26,88,24,74,28
502,24,68,25,64,26,88,24,75,28
503,24,69,25,65,26,87,24,75,28
504,24,69,25,65,26,87,24,76,28
505,24,68,25,65,26,88,24,76,28
506,24,67,25,66,26,89,24,75,28
507,24,68,25,67,26,87,24,75,28
508,24,68,25,67,26,87,24,75,28
509,24,69,25,67,26,85,24,74,28
510,24,69,25,67,26,83,24,74,28
511,24,69,25,66,26,84,24,73,28
512,24,70,25,66,26,83,24,72,28
513,24,71,25,65,26,85,24,72,28
514,24,69,25,64,26,85,24,71,28
515,24,69,25,64,26,82,24,70,28
516,23,67,25,63,26,82,24,70,28
517,23,67,25,63,26,83,24,69,28
518,23,66,25,62,26,85,24,68,28
519,23,66,25,62,26,80,24,68,28
520,23,67,25,62,26,80,24,67,28
521,23,66,25,61,26,79,24,67,28
522,23,66,25,61,26,84,24,66,28
523,23,66,25,60,26,83,24,66,28
524,23,65,25,60,26,79,24,65,28
525,23,67,25,60,26,79,24,65,28
526,23,68,25,60,26,80,24,65,28
527,23,68,25,59,26,84,24,67,28
528,23,68,25,59,26,84,24,68,28
529,23,68,25,59,26,86,24,69,28
530,23,66,25,59,26,84,24,70,28
531,24,67,25,61,26,84,24,71,28
532,24,68,25,62,26,85,24,72,28
533,24,69,25,62,26,86,24,72,28
534,24,68,25,62,26,86,24,73,28
535,24,68,25,62,26,86,24,73,28
536,24,68,25,63,26,86,24,74,28
537,24,67,25,63,26,87,24,74,28
538,24,68,25,63,26,87,24,75,28
539,24,68,25,63,26,87,24,75,28
540,24,69,25,64,26,88,24,75,28
541,24,69,25,65,26,88,24,76,28
542,24,71,25,65,26,87,24,76,28
543,24,70,25,66,26,88,24,76,28
544,24,70,25,66,26,88,24,77,28
545,24,71,25,67,26,87,24,77,28
546,24,71,25,67,26,88,24,77,28
547,24,70,25,67,26,88,25,77,28
548,24,70,25,67,26,89,25,77,28
549,24,69,25,68,26,87,25,76,28
550,24,69,25,69,26,89,25,76,28
551,24,71,25,68,26,85,25,76,28
552,24,71,25,68,26,86,25,76,28
553,24,72,25,68,26,84,25,75,28
554,24,71,25,67,26,85,25,72,28
555,24,71,25,67,26,84,25,72,28
556,24,70,25,66,26,85,25,72,28
557,24,69,25,66,26,85,25,72,28
558,23,69,25,65,26,84,25,71,28
559,23,70,25,64,26,84,25,70,28
560,23,69,25,64,26,83,25,70,28
561,23,68,25,64,26,85,25,70,28
562,23,68,25,63,26,82,25,69,28
563,23,68,25,63,26,82,25,68,28
564,23,66,25,62,26,84,25,68,28
565,23,67,25,62,26,81,25,67,28
566,23,67,25,61,26,81,25,67,28
567,23,67,25,61,26,82,25,67,28
568,23,67,25,61,26,84,25,66,28
569,23,69,25,60,26,82,25,66,28
570,23,70,25,60,26,82,25,69,28
571,23,69,25,60,26,84,25,70,28
572,23,67,25,61,26,84,25,70,28
573,24,67,25,61,26,84,25,71,28
574,24,68,25,61,26,84,25,73,28
575,24,70,25,63,26,85,25,73,28
576,24,69,25,63,26,86,25,73,28
577,24,69,25,63,26,86,25,74,28
578,24,68,25,63,26,86,25,75,28
579,24,68,25,63,26,86,25,75,28
580,24,68,25,64,26,86,25,75,28
581,24,69,25,65,26,87,25,76,28
582,24,70,25,65,26,87,25,76,28
583,24,70,25,66,26,89,25,76,28
584,24,70,25,66,26,87,25,77,28
585,24,70,25,67,26,87,25,77,28
586,24,70,25,67,26,87,25,77,28
587,24,71,25,67,26,87,25,77,28
588,24,70,25,68,26,89,25,76,28
589,24,69,25,68,26,87,25,76,28
590,24,69,25,69,26,86,25,76,28
591,24,70,25,69,26,86,25,75,28
592,24,71,25,69,26,85,25,76,28
593,24,70,25,68,26,87,25,75,28
594,24,70,25,68,26,85,25,74,28
595,24,71,25,68,26,85,25,74,28
596,24,70,25,68,26,85,25,73,28
597,24,69,25,66,26,85,25,73,28
598,24,69,25,66,26,84,25,72,28
599,24,69,25,65,26,86,25,72,28
600,24,68,25,64,26,83,25,71,28
601,24,69,25,64,26,83,25,71,28
602,24,68,25,63,26,85,25,70,28
603,24,72,25,63,26,82,25,69,28
604,24,69,25,63,26,83,25,69,28
605,24,70,25,63,26,86,25,71,28
606,24,70,25,63,26,85,25,72,28
607,24,70,25,62,26,85,25,72,28
608,24,69,25,63,26,87,25,73,28
609,24,70,25,65,26,87,25,75,28
